Filename,ClusterLabel,ClusterCenter,ClusterAverage
road_signs_anotation_data_10_semantikarto_filtered_planarity_clustered.laz,0,"x    35.880823
y    -0.586721
z     4.877513
dtype: float64","x    35.844299
y    -0.607657
z     4.329882
dtype: float64"
road_signs_anotation_data_11_semantikarto_filtered_planarity_clustered.laz,0,"x    39.717546
y     0.003797
z     2.571396
dtype: float64","x    39.696115
y    -0.015251
z     2.672481
dtype: float64"
road_signs_anotation_data_12_semantikarto_filtered_planarity_clustered.laz,0,"x    44.383393
y     0.282555
z     3.119347
dtype: float64","x    43.949038
y     0.324653
z     2.881900
dtype: float64"
road_signs_anotation_data_12_semantikarto_filtered_planarity_clustered.laz,1,"x    44.383393
y     0.282555
z     3.119347
dtype: float64","x    43.949038
y     0.324653
z     2.881900
dtype: float64"
road_signs_anotation_data_12_semantikarto_filtered_planarity_clustered.laz,2,"x    44.383393
y     0.282555
z     3.119347
dtype: float64","x    43.949038
y     0.324653
z     2.881900
dtype: float64"
road_signs_anotation_data_13_semantikarto_filtered_planarity_clustered.laz,0,"x    47.903372
y    -0.022411
z     4.258502
dtype: float64","x    47.870649
y    -0.005648
z     4.707721
dtype: float64"
road_signs_anotation_data_14_semantikarto_filtered_planarity_clustered.laz,0,"x    51.487946
y     0.856199
z     3.172580
dtype: float64","x    51.387245
y     0.880913
z     3.113939
dtype: float64"
road_signs_anotation_data_15_semantikarto_filtered_planarity_clustered.laz,0,"x    56.012262
y     0.447573
z     3.125718
dtype: float64","x    56.027161
y     0.461397
z     3.106000
dtype: float64"
road_signs_anotation_data_16_semantikarto_filtered_planarity_clustered.laz,0,"x    59.919112
y     0.482532
z     1.976079
dtype: float64","x    59.907930
y     0.484602
z     2.003126
dtype: float64"
road_signs_anotation_data_17_semantikarto_filtered_planarity_clustered.laz,0,"x    64.041079
y     0.585555
z     2.685335
dtype: float64","x    64.109859
y     0.358897
z     2.661705
dtype: float64"
road_signs_anotation_data_17_semantikarto_filtered_planarity_clustered.laz,1,"x    64.041079
y     0.585555
z     2.685335
dtype: float64","x    64.109859
y     0.358897
z     2.661705
dtype: float64"
road_signs_anotation_data_18_semantikarto_filtered_planarity_clustered.laz,0,"x    68.587248
y    -0.808191
z     4.001520
dtype: float64","x    68.707256
y    -0.965909
z     3.739802
dtype: float64"
road_signs_anotation_data_18_semantikarto_filtered_planarity_clustered.laz,1,"x    68.587248
y    -0.808191
z     4.001520
dtype: float64","x    68.707256
y    -0.965909
z     3.739802
dtype: float64"
road_signs_anotation_data_18_semantikarto_filtered_planarity_clustered.laz,2,"x    68.587248
y    -0.808191
z     4.001520
dtype: float64","x    68.707256
y    -0.965909
z     3.739802
dtype: float64"
road_signs_anotation_data_18_semantikarto_filtered_planarity_clustered.laz,3,"x    68.587248
y    -0.808191
z     4.001520
dtype: float64","x    68.707256
y    -0.965909
z     3.739802
dtype: float64"
road_signs_anotation_data_18_semantikarto_filtered_planarity_clustered.laz,4,"x    68.587248
y    -0.808191
z     4.001520
dtype: float64","x    68.707256
y    -0.965909
z     3.739802
dtype: float64"
road_signs_anotation_data_18_semantikarto_filtered_planarity_clustered.laz,5,"x    68.587248
y    -0.808191
z     4.001520
dtype: float64","x    68.707256
y    -0.965909
z     3.739802
dtype: float64"
road_signs_anotation_data_19_semantikarto_filtered_planarity_clustered.laz,0,"x    71.986212
y    -0.090104
z     2.747762
dtype: float64","x    71.958785
y    -0.100821
z     2.834128
dtype: float64"
